business_id,enterprise_category,business_type,industry_sector,years_in_operation,annual_turnover,monthly_revenue,employee_count,gst_registered,udyam_registered,itf_filing_years,existing_loans,existing_emi,bank_account_years,credit_history_length,past_defaults,delayed_payments,land_owned,property_value,machinery_value,inventory_value,loan_amount_requested,loan_tenure_months,proposed_emi,emi_to_revenue_ratio,total_asset_value,loan_to_turnover_ratio,risk_score,risk_bucket
MSME00001,Micro,Services,General Manufacturing,3,3392266,203081.26433568136,5,0,0,0,1,18656,4,45,0,2,1,3020554,517850,197927,826848,24,38922.606360861944,0.28352495514154324,3736331,0.24374503650362325,81.78745678768033,High
MSME00002,Medium,Services,Textile,4,101543790,9579038.692609828,200,1,1,2,1,1496063,5,71,0,1,1,3001473,11828541,8420224,13795559,48,363289.98039744975,0.19410642759298277,23250238,0.13585822431878897,223.4413477397718,Low
MSME00003,Small,Services,General Manufacturing,9,29095827,2645083.6624153643,16,1,1,6,0,0,10,118,1,0,1,4666788,5653194,3233773,5835164,12,518447.25313946686,0.19600410395565543,13553755,0.20054985891963134,194.77426769789673,Low
MSME00004,Micro,Manufacturing,IT Services,0,1949827,126558.70467973055,7,0,0,0,2,34857,2,24,0,0,0,0,277908,268020,316849,36,10523.920849892082,0.3585760534191072,545928,0.16250108342945296,50.32059711338387,High
MSME00005,Micro,Manufacturing,IT Services,3,1538096,147684.1215784008,3,0,1,0,0,0,5,58,0,3,0,0,286677,192846,708307,48,18652.43997328245,0.12629956270133252,479523,0.4605089669305427,77.51465845378765,High
MSME00006,Micro,Manufacturing,Auto Components,11,2746151,227224.58578751824,8,0,0,3,1,11587,12,143,0,0,0,0,296404,182787,81489,24,3835.9701780016144,0.06787544633230802,479191,0.02967389630067684,137.41457134564547,Medium
MSME00007,Micro,Manufacturing,Healthcare,2,1621001,117735.42099898029,6,0,1,0,1,9378,3,36,0,0,0,0,242782,268283,304401,36,10110.46912134171,0.16552766326380655,511065,0.18778581876260408,98.62165426240352,Medium
MSME00008,Small,Services,Textile,2,22004220,1609033.8103165415,25,1,1,1,1,153920,3,40,0,0,0,0,1479006,2343209,3364880,36,111762.16680306665,0.16511907027659015,3822215,0.15291975811912442,168.6861158501067,Low
MSME00009,Small,Services,Agriculture,0,45723845,4699148.069118328,20,1,1,0,0,0,2,27,0,0,1,1655645,4364470,4684314,9784325,48,257658.80436249648,0.05483096096838663,10704429,0.21398736261134643,168.30592958654483,Low
MSME00010,Small,Manufacturing,IT Services,6,45931436,3047240.463720852,38,1,1,2,3,358697,7,87,0,1,0,0,7979083,3516943,6817325,72,133280.01610346272,0.1614500141884868,11496026,0.1484239465101853,198.84537010652826,Low
MSME00011,Micro,Manufacturing,Food Processing,0,669216,70534.66570403645,1,1,0,0,1,16194,2,28,0,5,0,0,73881,41366,325558,36,10813.184274052199,0.3828923551913378,115247,0.48647671304929946,4.354124711131557,High
MSME00012,Medium,Manufacturing,Healthcare,4,200689874,13168509.62264741,179,1,1,3,0,0,5,62,0,2,1,3396646,29727828,30312958,42091910,72,822904.9433062826,0.06249036275836695,63437432,0.2097360926142193,247.54797704031807,Low
MSME00013,Small,Trading,Retail,2,36959725,3947732.466677476,16,0,0,0,0,0,3,31,0,0,0,0,2848431,1585837,5625894,48,148151.36675346975,0.0375282185416577,4434268,0.15221687931931313,145.18011538407134,Medium
MSME00014,Micro,Services,Textile,2,4957492,466013.44066759385,6,0,0,1,0,0,3,39,0,2,0,0,579906,471131,636511,36,21141.273553287712,0.04536623133230126,1051037,0.12839375232476422,107.4460505619588,Medium
MSME00015,Micro,Trading,Healthcare,4,2469339,149782.21964501083,7,0,0,3,0,0,5,62,1,0,0,0,309117,270965,289996,24,13651.118650857863,0.09113978069767892,580082,0.11743871538091773,87.67841691886511,High
MSME00016,Micro,Trading,General Manufacturing,4,2351186,222532.93112935164,3,0,1,3,1,44709,6,77,0,2,0,0,161850,109911,813690,72,15907.796137521178,0.27239472301870893,271761,0.34607640569482806,91.35655023249858,High
MSME00017,Micro,Services,Food Processing,2,3588105,386713.27787354455,2,1,1,0,0,0,3,31,0,1,0,0,403283,235152,173053,60,3849.4684052153043,0.00995432178171571,638435,0.04822963653516271,130.01986003142392,Medium
MSME00018,Micro,Services,Textile,1,3087319,288502.7059075928,4,1,0,0,0,0,3,33,0,0,0,0,406093,150798,865446,60,19251.36827110749,0.06672855358685506,556891,0.2803228302614663,106.9799216921269,Medium
MSME00019,Micro,Manufacturing,General Manufacturing,3,2347009,226884.5389428886,7,0,1,1,0,0,5,68,2,0,1,826699,224821,387375,60247,48,1586.5345832673513,0.0069926958913084595,1438895,0.025669692787714065,72.47155702616074,High
MSME00020,Micro,Services,Retail,1,2891783,230722.76969257006,1,1,1,0,0,0,3,37,0,0,1,4541398,477090,375700,891953,36,29625.60328050204,0.12840346585634835,5394188,0.308443960006681,125.25541468677702,Medium
MSME00021,Small,Manufacturing,Education Services,0,13118393,797947.5705953443,20,0,1,0,2,100442,2,23,0,3,1,4624117,1760694,1704910,6951305,24,327222.06283294084,0.5359550910266736,8089721,0.52988997966443,71.75836037196653,High
MSME00022,Micro,Trading,General Manufacturing,8,268800,26117.38852925662,6,1,1,5,0,0,10,123,0,0,1,2169965,27704,38810,115263,36,3828.3809919586643,0.1465836060780014,2236479,0.42880580357142856,156.46217672333808,Medium
MSME00023,Micro,Manufacturing,Retail,6,4352119,389707.3671450189,1,0,0,1,0,0,8,96,0,5,0,0,220808,621725,634627,36,21078.697793600302,0.05408852788188745,842533,0.14582023147804551,86.68939918973486,High
MSME00024,Micro,Trading,General Manufacturing,0,766754,76678.25430557701,8,0,0,0,2,22432,2,33,0,0,0,0,63465,44399,98762,36,3280.311665736807,0.33532729583629406,107864,0.12880532739314043,36.8526900965082,High
MSME00025,Micro,Manufacturing,Hospitality,0,3338763,278138.72516979603,3,0,1,0,2,16722,1,9,0,0,0,0,315364,513835,525707,60,11694.06185908665,0.10216506831883776,829199,0.15745562053970288,68.07574861399917,High
MSME00026,Small,Trading,Food Processing,0,11451791,1080988.7647275121,27,1,1,0,1,302140,1,17,2,2,1,4934096,603068,673770,6503217,36,215999.86421820056,0.4793203048218633,6210934,0.5678777232312395,32.461149766469426,High
MSME00027,Micro,Manufacturing,Healthcare,7,911147,62585.43063692106,3,0,0,6,0,0,8,105,0,0,0,0,64715,144528,150201,36,4988.822548200058,0.07971220294291623,209243,0.16484826268428696,119.72420783067656,Medium
MSME00028,Micro,Services,Healthcare,7,2797329,204545.93360217402,7,0,1,1,1,21662,8,107,0,0,0,0,425253,128524,851806,36,28292.1483844455,0.24421970901461404,553777,0.30450690640965006,136.71486870260262,Medium
MSME00029,Micro,Services,Healthcare,2,4046099,405780.0822721506,1,0,1,1,2,97962,3,47,0,0,0,0,766139,505048,293908,24,13835.270074195272,0.2755119705437255,1271187,0.07263984395834111,112.50415508822945,Medium
MSME00030,Micro,Manufacturing,Retail,8,4322484,328316.250876883,5,1,0,5,0,0,10,122,0,1,0,0,362497,249065,62319,36,2069.882573227072,0.006304538894126408,611562,0.014417404436893232,164.71148989550716,Low
MSME00031,Small,Services,Healthcare,18,27262888,2678726.6805382376,46,1,1,7,0,0,19,180,0,0,1,2684554,4901975,3919617,4019337,24,189204.14862543996,0.07063212159719973,11506146,0.14742887840789282,264.74404248485814,Low
MSME00032,Micro,Trading,Textile,17,761513,61607.74274006965,1,0,1,10,3,11221,18,180,2,0,1,3537933,58934,71044,131508,60,2925.322826146061,0.2296192361052907,3667911,0.17269304660590168,83.93874100004774,High
MSME00033,Micro,Manufacturing,Agriculture,19,4580346,360082.027687177,1,0,1,0,0,0,20,180,0,1,1,787329,399290,446599,958306,60,21316.987683127467,0.059200365594604745,1633218,0.20922131210174952,164.67570701267954,Low
MSME00034,Medium,Trading,Food Processing,9,162060851,14249497.19986233,180,1,1,0,2,2808097,11,140,2,3,1,1671515,13218998,15249987,25259029,12,2244234.1298411037,0.3545620634172213,30140500,0.15586138690583576,147.17961483727183,Medium
MSME00035,Medium,Services,Textile,1,265817993,19729063.11212421,147,1,1,0,0,0,3,47,0,0,1,3416169,13895939,27538735,26409103,36,877160.1289214973,0.04446030325598438,44850843,0.09935032125534106,237.68409928210718,Low
MSME00036,Small,Trading,Auto Components,0,8917177,710360.4748585074,26,1,0,0,2,5260,2,29,0,1,0,0,678668,409564,2901567,48,76409.38787271232,0.1149689358617251,1088232,0.32539075987837857,91.67807673214233,High
MSME00037,Micro,Manufacturing,Textile,8,2948429,173675.65452281342,1,1,1,3,2,9558,10,131,0,1,1,4975400,191117,406212,662672,72,12955.365166148576,0.12962879125462748,5572729,0.22475426744208526,173.22191927337428,Low
MSME00038,Micro,Services,Agriculture,1,1584527,133625.16288035075,5,1,1,0,1,31259,3,45,0,2,0,0,295721,253038,359121,24,16905.07241829103,0.3604416367403616,548759,0.22664239864640995,89.85409958983078,High
MSME00039,Small,Trading,General Manufacturing,2,25290658,1638232.549494419,41,0,1,1,2,453168,4,45,0,1,0,0,3426221,2945415,5408316,48,142421.7035078618,0.363556262932066,6371636,0.21384639339949163,140.137466841644,Medium
MSME00040,Micro,Services,General Manufacturing,0,1027991,95136.27958943463,4,0,1,0,2,25377,1,11,0,4,0,0,200084,81824,401364,48,10569.45352430025,0.37784169908082343,281908,0.3904353248228827,3.4655755554290195,High
MSME00041,Micro,Services,Agriculture,6,2575791,212530.23386503124,2,0,0,1,2,61224,7,94,0,0,1,1058963,378290,165804,336601,48,8863.995340222315,0.3297789404623352,1603057,0.13067869248708455,102.18862412887677,Medium
MSME00042,Micro,Manufacturing,IT Services,2,3945106,377071.81139391783,8,0,1,0,2,32212,3,41,0,0,0,0,487282,346332,277447,48,7306.2436390820585,0.10480296443532953,833614,0.07032688095072731,117.78893420283259,Medium
MSME00043,Micro,Manufacturing,Retail,1,4472892,472973.05616488,1,1,0,0,0,0,2,22,0,2,1,4755711,364599,548633,268647,24,12646.147092363384,0.026737563435230642,5668943,0.06006114165063677,111.89931047409897,Medium
MSME00044,Medium,Services,General Manufacturing,5,157236123,12592944.794293433,170,1,1,3,0,0,7,91,1,2,1,4725627,9688064,14345263,43000455,48,1132366.9054680148,0.08992073926832057,28758954,0.27347694778762766,207.40403895797047,Low
MSME00045,Micro,Services,Food Processing,19,4960286,533017.2288598863,7,0,0,10,2,155871,20,180,0,3,1,2123184,502237,707643,958511,36,31836.28131302579,0.35215987617234834,3333064,0.19323704318662271,140.9005748990443,Medium
MSME00046,Small,Services,Healthcare,3,12055059,963898.9983294237,21,1,0,1,3,160235,5,61,0,0,0,0,755002,1918602,4556176,72,89074.11787617728,0.2586465161892128,2673604,0.3779472170148649,133.10301283700832,Medium
MSME00047,Micro,Manufacturing,General Manufacturing,4,2438449,253598.75284922455,2,0,1,3,0,0,6,83,0,1,0,0,443448,173781,201803,36,6702.7473631628045,0.026430521790254537,617229,0.08275875361756592,133.40638547723603,Medium
MSME00048,Micro,Services,Food Processing,0,2568342,193872.76487566833,1,1,0,0,1,48099,1,17,0,0,0,0,423344,161005,534581,24,25164.583854585053,0.3778951824490118,584349,0.20814245143364862,65.42982862514427,High
MSME00049,Micro,Manufacturing,Retail,0,4405742,453148.11971508816,4,0,0,0,1,124656,2,32,0,0,1,3849653,711212,411338,217351,12,19311.37306802624,0.3177048889854031,4972203,0.049333574231082984,85.73680700850004,High
MSME00050,Micro,Services,Education Services,3,339594,35323.835039601945,7,0,0,1,0,0,5,65,0,0,0,0,59440,41956,80135,48,2110.2619023375305,0.05974045286905265,101396,0.23597295594150663,85.84918099462809,High
MSME00051,Medium,Trading,Education Services,9,128581757,10154223.569704475,252,1,1,0,1,506830,11,138,1,3,0,0,16684232,17191225,20153629,24,948701.2949294813,0.14334245104392976,33875457,0.15673785667744453,194.48557316319264,Low
MSME00052,Small,Trading,IT Services,11,5006495,398784.7402112771,44,1,0,5,1,44228,13,156,0,0,1,1086919,568666,353139,2511081,12,223106.5051231989,0.6703729560503354,2008724,0.5015646674969215,154.5813413546442,Medium
MSME00053,Medium,Manufacturing,Textile,5,338085733,32241711.18360313,226,1,1,3,1,4445629,6,82,0,0,1,4718941,64402492,24280813,29040086,36,964546.4133958418,0.16780050483633277,93402246,0.08589562695329708,260.40115019143417,Low
MSME00054,Small,Trading,Education Services,2,13870193,1031934.8074914442,17,1,1,0,0,0,4,51,0,0,1,1003967,2673007,1520858,1585600,72,30998.78523227959,0.030039480214486908,5197832,0.11431708268226692,171.03252195694196,Low
MSME00055,Micro,Services,Healthcare,6,2945135,189560.5333447282,1,0,1,4,2,30697,7,94,0,0,0,0,226153,253964,63558,12,5647.05131081804,0.19172794394244508,480117,0.021580674570096107,126.04908961144237,Medium
MSME00056,Medium,Services,Education Services,1,90770318,9429310.745895017,238,1,1,0,0,0,2,31,0,2,1,1801733,8016245,7176652,22336783,36,741900.8307844272,0.07868028223668506,16994630,0.24608025500142017,184.78295069307603,Low
MSME00057,Micro,Manufacturing,Hospitality,1,343425,33959.93291421805,2,0,1,0,1,8489,3,34,0,0,1,3826939,43898,36681,199730,12,17745.76856272518,0.7725212128361254,3907518,0.5815825871733276,47.05732938053391,High
