beneficiary_id,age,area_type,occupation,estimated_monthly_income,asset_score,business_years,residence_years,shg_member,dependents,proposed_emi,first_time_borrower,risk_score,risk_bucket
B00001,59,Semi-Urban,Handloom Weaver,14399.0,1,16,21,1,1,3965,0,170.72980320365807,Low
B00002,49,Rural,Handloom Weaver,13082.0,0,1,5,1,2,3138,0,50.80943430678049,High
B00003,35,Rural,Small Retail Shop,19479.0,0,4,7,1,3,4835,1,71.49442455265547,High
B00004,28,Urban,Street Vendor,15455.999999999998,0,19,12,1,3,4785,0,144.6113687277044,Medium
B00005,41,Rural,Milk Vendor,13104.0,0,18,2,0,4,5072,0,85.05965574159492,High
B00006,59,Rural,Delivery Worker,19333.0,0,8,39,1,2,1334,0,156.8492275488038,Low
B00007,39,Rural,Daily Wage Worker,9360.0,1,6,21,0,3,5718,1,83.33168902861347,High
B00008,43,Semi-Urban,Handloom Weaver,14637.0,0,13,32,1,3,3103,0,157.46586006785964,Low
B00009,31,Rural,Garment Manufacturer,26981.0,1,20,5,0,1,2216,1,138.60998736188714,Medium
B00010,31,Semi-Urban,Small Retail Shop,22004.0,1,3,27,1,4,3926,0,120.7683378480252,Medium
B00011,44,Rural,Auto Driver,14459.0,0,15,31,0,4,3632,1,130.69165461519174,Medium
B00012,56,Semi-Urban,Milk Vendor,13477.0,0,6,12,0,3,5774,1,54.59096318791671,High
B00013,60,Semi-Urban,Garment Manufacturer,27398.0,2,6,36,0,3,6145,0,146.0570282164323,Medium
B00014,44,Rural,Handloom Weaver,16466.0,0,5,21,1,4,4345,0,97.17667208432796,High
B00015,23,Semi-Urban,Street Vendor,14166.0,1,19,19,0,1,4399,0,150.04584787863135,Medium
B00016,42,Rural,Small Retail Shop,18779.0,2,10,3,0,5,2837,1,83.10272709613041,High
B00017,22,Rural,Agriculture,11139.0,2,9,17,1,1,1933,0,142.1538828030006,Medium
B00018,44,Semi-Urban,Daily Wage Worker,11138.0,0,14,30,1,5,6635,0,147.5895059437596,Medium
B00019,50,Rural,Small Retail Shop,22955.0,0,22,36,1,4,3068,1,210.53667356420289,Low
B00020,58,Semi-Urban,Garment Manufacturer,28390.0,1,5,9,0,4,4023,0,70.36123517028791,High
B00021,22,Rural,Delivery Worker,18870.0,2,7,34,1,4,5141,1,164.72558967927816,Low
B00022,41,Rural,Daily Wage Worker,10534.0,0,17,29,1,2,3136,1,168.40980440453498,Low
B00023,53,Rural,Agriculture,13710.0,1,23,10,1,2,4862,1,175.70458906211638,Low
B00024,32,Semi-Urban,Auto Driver,18306.0,0,17,9,0,2,5603,0,106.0165720149473,Medium
B00025,42,Rural,Milk Vendor,16749.0,0,9,11,1,4,6215,0,95.38047836874102,High
B00026,45,Semi-Urban,Handloom Weaver,13951.0,1,22,19,1,3,3799,1,186.01200907068787,Low
B00027,47,Rural,Tailor,13717.0,1,23,22,0,4,4137,0,162.67016204792722,Low
B00028,48,Rural,Street Vendor,14198.0,0,7,22,0,5,5992,1,72.87498178846799,High
B00029,36,Semi-Urban,Garment Manufacturer,26596.0,1,1,16,0,1,2992,1,75.08867620897774,High
B00030,35,Semi-Urban,Small Retail Shop,21733.0,1,2,17,1,5,6612,0,92.62542041069833,High
B00031,23,Rural,Delivery Worker,18750.0,1,10,7,1,1,1217,1,119.59355507782786,Medium
B00032,57,Semi-Urban,Street Vendor,15058.0,0,19,31,0,5,4504,0,145.63537419224645,Medium
B00033,27,Rural,Delivery Worker,19924.0,1,8,4,1,1,6410,1,105.70272639857025,Medium
B00034,41,Semi-Urban,Small Retail Shop,19337.0,1,9,29,0,3,4131,0,123.15470174913422,Medium
B00035,29,Urban,Garment Manufacturer,32170.1,2,15,7,1,1,5691,0,170.96370424334887,Low
B00036,59,Urban,Auto Driver,21243.949999999997,1,11,30,0,4,6040,1,132.38786589473858,Medium
B00037,38,Semi-Urban,Auto Driver,17064.0,0,24,3,0,5,3585,0,113.94972281501668,Medium
B00038,24,Rural,Agriculture,10072.0,1,12,25,1,2,5257,1,152.67416978894963,Medium
B00039,45,Semi-Urban,Handloom Weaver,16044.0,1,22,34,1,3,3798,0,218.1658565732418,Low
B00040,34,Semi-Urban,Milk Vendor,14733.0,0,18,33,0,5,6705,1,144.91045169618877,Medium
B00041,29,Rural,Tailor,15246.0,0,2,31,0,3,5073,1,76.12747548090094,High
B00042,46,Rural,Milk Vendor,16541.0,1,15,24,1,2,2283,1,170.45874522668828,Low
B00043,22,Urban,Agriculture,13108.849999999999,2,10,38,0,2,1358,0,158.01957647270717,Low
B00044,40,Urban,Auto Driver,18778.35,0,7,4,1,2,3273,1,81.38897187842153,High
B00045,48,Rural,Delivery Worker,16056.0,1,9,10,0,2,1068,0,84.68761121170355,High
B00046,27,Semi-Urban,Agriculture,11130.0,2,22,25,0,2,3025,1,184.1206139554127,Low
B00047,28,Semi-Urban,Handloom Weaver,17590.0,0,17,37,1,4,1008,1,184.7133499056374,Low
B00048,55,Rural,Garment Manufacturer,28968.0,1,14,1,1,1,1280,1,135.92667812875607,Medium
B00049,34,Rural,Handloom Weaver,17921.0,0,9,17,0,2,2575,0,85.54100963898846,High
B00050,37,Semi-Urban,Daily Wage Worker,8562.0,0,7,7,0,5,6314,1,37.20593243925236,High
B00051,56,Rural,Handloom Weaver,13366.0,1,15,14,1,5,1792,0,137.1416060828656,Medium
B00052,60,Rural,Garment Manufacturer,28103.0,2,3,1,1,2,1306,1,97.13418682463495,High
B00053,24,Semi-Urban,Street Vendor,11986.0,0,2,6,1,3,4960,0,52.53528223360791,High
B00054,22,Urban,Small Retail Shop,21682.1,2,3,39,0,2,1145,0,136.6927477266507,Medium
B00055,26,Semi-Urban,Garment Manufacturer,27256.0,0,2,10,0,4,4565,1,42.40866622792984,High
B00056,24,Semi-Urban,Handloom Weaver,17103.0,0,13,21,0,1,1442,1,114.53547324298427,Medium
B00057,49,Rural,Auto Driver,16222.0,1,13,3,1,5,4926,0,108.51465039271525,Medium
B00058,38,Rural,Agriculture,9737.0,2,2,19,0,2,1308,1,79.86769660750565,High
B00059,46,Semi-Urban,Agriculture,13782.0,2,20,28,1,1,5577,1,216.32944604311442,Low
B00060,54,Rural,Agriculture,11232.0,2,22,2,1,1,6527,0,171.33083880414776,Low
B00061,30,Urban,Auto Driver,17036.1,0,19,27,1,2,6692,1,180.10884474648864,Low
B00062,56,Rural,Delivery Worker,16186.0,0,9,32,1,1,6688,0,147.34564315214374,Medium
B00063,34,Rural,Small Retail Shop,18984.0,2,5,12,1,5,4777,1,108.90181709213262,Medium
B00064,51,Rural,Garment Manufacturer,29162.0,1,21,1,1,2,6452,1,164.53647114809527,Low
B00065,35,Urban,Handloom Weaver,15546.849999999999,1,7,29,0,3,5678,1,109.81591763394788,Medium
B00066,28,Rural,Delivery Worker,16454.0,2,13,9,0,2,5040,1,116.45817188688096,Medium
B00067,34,Rural,Handloom Weaver,14058.0,0,1,18,1,5,3418,0,67.56457978311303,High
B00068,43,Rural,Agriculture,12906.0,0,9,36,1,2,3721,1,148.58622072436444,Medium
B00069,60,Semi-Urban,Handloom Weaver,13135.0,0,2,16,0,2,5149,0,47.53070051568711,High
B00070,41,Rural,Auto Driver,15136.0,1,3,35,1,2,1576,1,137.2737369555931,Medium
B00071,36,Rural,Street Vendor,11554.0,0,12,36,0,4,2268,0,124.0545324829706,Medium
B00072,38,Rural,Handloom Weaver,15572.0,0,5,4,1,4,1199,1,62.45333598625403,High
B00073,44,Semi-Urban,Delivery Worker,18403.0,0,12,35,1,5,6492,0,155.34179929239124,Low
B00074,46,Rural,Garment Manufacturer,25948.0,1,4,19,1,1,2408,0,124.09118327345622,Medium
B00075,45,Rural,Small Retail Shop,19046.0,1,21,6,1,2,3712,1,164.46685820462253,Low
B00076,49,Rural,Agriculture,12114.0,2,21,31,0,2,4824,1,192.5317810989692,Low
B00077,35,Semi-Urban,Daily Wage Worker,8963.0,0,12,27,1,4,6340,1,133.80746210249262,Medium
B00078,21,Semi-Urban,Garment Manufacturer,27458.0,2,5,3,1,3,5659,1,105.90691121033126,Medium
B00079,45,Semi-Urban,Street Vendor,14188.0,0,14,36,1,4,4920,1,166.17889358925228,Low
B00080,27,Urban,Tailor,16332.3,0,14,36,0,1,4319,1,147.9911475330737,Medium
B00081,29,Urban,Handloom Weaver,17477.699999999997,1,10,2,0,2,6190,0,74.9396127208316,High
B00082,44,Rural,Handloom Weaver,13880.0,0,10,37,0,2,5578,1,126.42019780822041,Medium
B00083,21,Semi-Urban,Small Retail Shop,18700.0,1,5,15,1,5,5751,1,99.6734763952694,High
B00084,28,Semi-Urban,Small Retail Shop,19732.0,2,18,37,0,3,3945,0,194.71306410735392,Low
B00085,44,Urban,Agriculture,11846.15,1,17,23,0,5,2753,1,132.49883263335508,Medium
B00086,31,Rural,Daily Wage Worker,12771.0,0,10,6,1,3,1004,1,89.50539984465165,High
B00087,37,Semi-Urban,Daily Wage Worker,8415.0,0,11,33,1,3,2608,0,143.93822472621937,Medium
B00088,28,Rural,Auto Driver,16965.0,1,15,5,0,3,4566,0,99.6224289408097,High
B00089,55,Urban,Agriculture,12787.999999999998,2,24,21,1,3,1948,0,212.51614291210666,Low
B00090,55,Rural,Agriculture,12292.0,1,19,28,1,5,2018,1,181.81386646606148,Low
B00091,53,Rural,Street Vendor,15893.0,1,12,21,1,2,6359,1,150.55095583981705,Medium
B00092,25,Rural,Milk Vendor,16155.0,0,16,24,1,2,6906,0,159.4321189593536,Low
B00093,59,Rural,Street Vendor,15293.0,0,23,28,1,5,6310,0,187.75860275472823,Low
B00094,48,Semi-Urban,Handloom Weaver,17232.0,0,24,11,1,4,6125,0,164.0462915820668,Low
